,DE_LU_HYDRORIVER,FR_HYDRORIVER,IT_NORD_HYDRORIVER,ES_HYDRORIVER
2020-02-14,172724.0,145470.0,60269.0,32534.0
2020-02-15,169977.0,133179.0,48962.0,27663.0
2020-02-16,143302.0,116048.0,39382.0,27595.0
2020-02-17,154562.0,129746.0,60328.0,30813.0
2020-02-18,165900.0,135011.0,55251.0,30190.0
2020-02-19,162372.0,139411.0,58725.0,29469.0
2020-02-20,162408.0,142308.0,59233.0,27971.0
2020-02-21,160032.0,145706.0,57359.0,27612.0
2020-02-22,154076.0,124180.0,46056.0,25954.0
2020-02-23,144405.0,108477.0,35521.0,23935.0
2020-02-24,164141.0,125444.0,56941.0,26650.0
2020-02-25,168355.0,131132.0,55709.0,24640.0
2020-02-26,166973.0,145508.0,56479.0,24801.0
2020-02-27,168972.0,157227.0,61627.0,24461.0
2020-02-28,169253.0,158809.0,53750.0,26184.0
2020-02-29,159436.0,133326.0,37804.0,24017.0
2020-03-01,156491.0,138024.0,36094.0,25044.0
2020-03-02,157386.0,159667.0,58535.0,34755.0
2020-03-03,167811.0,159428.0,59131.0,37850.0
2020-03-04,167742.0,164460.0,60920.0,39468.0
2020-03-05,164595.0,165391.0,67089.0,41157.0
2020-03-06,162445.0,166316.0,54403.0,41600.0
2020-03-07,158932.0,165406.0,45647.0,41275.0
2020-03-08,150733.0,159223.0,40732.0,40494.0
2020-03-09,153874.0,170027.0,53565.0,39938.0
2020-03-10,162918.0,160910.0,47258.0,39958.0
2020-03-11,173412.0,160788.0,48357.0,38498.0
2020-03-12,175695.0,165334.0,46783.0,39262.0
2020-03-13,174605.0,173304.0,51873.0,39032.0
2020-03-14,171212.0,170876.0,48986.0,37110.0
2020-03-15,154268.0,156980.0,43366.0,34374.0
2020-03-16,152703.0,168172.0,51746.0,37528.0
2020-03-17,157002.0,167427.0,45703.0,39095.0
2020-03-18,156367.0,164741.0,45291.0,40879.0
2020-03-19,155553.0,161925.0,49844.0,41205.0
2020-03-20,163999.0,159008.0,51961.0,39952.0
2020-03-21,168690.0,138814.0,48108.0,39734.0
2020-03-22,147334.0,127353.0,48458.0,37730.0
2020-03-23,147399.0,133685.0,53726.0,37375.0
2020-03-24,150700.0,136859.0,57317.0,36882.0
2020-03-25,147421.0,132938.0,53551.0,38589.0
2020-03-26,146428.0,128980.0,55000.0,35138.0
2020-03-27,146453.0,134046.0,63718.0,35895.0
2020-03-28,144042.0,113960.0,55458.0,34053.0
2020-03-29,132152.0,95382.0,51943.0,28897.0
2020-03-30,133619.0,123039.0,57509.0,30460.0
2020-03-31,143764.0,120371.0,53224.0,30405.0
2020-04-01,143664.0,119993.0,52926.0,33147.0
2020-04-02,141088.0,118359.0,52362.0,31929.0
2020-04-03,137312.0,121647.0,52373.0,32335.0
2020-04-04,135638.0,101604.0,46956.0,28334.0
2020-04-05,123452.0,82152.0,46133.0,27257.0
2020-04-06,123737.0,101290.0,54413.0,32644.0
2020-04-07,124752.0,107356.0,62396.0,33348.0
2020-04-08,126348.0,109210.0,59989.0,32694.0
2020-04-09,132552.0,113929.0,64621.0,32074.0
2020-04-10,133644.0,102013.0,68416.0,34172.0
2020-04-11,134513.0,102933.0,71729.0,34415.0
2020-04-12,132188.0,95862.0,70908.0,34628.0
2020-04-13,123481.0,83036.0,71812.0,35810.0
2020-04-14,136377.0,107398.0,80840.0,37508.0
2020-04-15,136358.0,110255.0,81365.0,37352.0
2020-04-16,137139.0,113436.0,82904.0,38112.0
2020-04-17,140076.0,114254.0,95443.0,40771.0
2020-04-18,142879.0,113002.0,91561.0,42005.0
2020-04-19,139120.0,100916.0,85687.0,40832.0
2020-04-20,139985.0,112009.0,108244.0,40893.0
2020-04-21,140332.0,114345.0,106677.0,40723.0
2020-04-22,148077.0,118100.0,105512.0,40813.0
2020-04-23,150537.0,128584.0,99837.0,40826.0
2020-04-24,160101.0,121818.0,105278.0,39683.0
2020-04-25,153450.0,110455.0,94853.0,39068.0
2020-04-26,145765.0,109013.0,94886.0,39549.0
2020-04-27,146713.0,126830.0,106841.0,42462.0
2020-04-28,154636.0,131661.0,105981.0,40916.0
2020-04-29,166240.0,131483.0,103625.0,39993.0
2020-04-30,162277.0,127236.0,110130.0,39668.0
2020-05-01,162178.0,129589.0,99700.0,40115.0
2020-05-02,163112.0,151615.0,103467.0,41905.0
2020-05-03,162549.0,155454.0,95580.0,40602.0
2020-05-04,156557.0,155712.0,104397.0,40147.0
2020-05-05,158303.0,152431.0,99686.0,41598.0
2020-05-06,174802.0,160725.0,100200.0,41177.0
2020-05-07,167841.0,161473.0,101736.0,38380.0
2020-05-08,166016.0,153520.0,112150.0,38223.0
2020-05-09,166478.0,152623.0,108378.0,36837.0
2020-05-10,169534.0,140003.0,110755.0,38441.0
2020-05-11,180548.0,157617.0,122105.0,38205.0
2020-05-12,192713.0,173408.0,131456.0,39692.0
2020-05-13,189044.0,173867.0,136555.0,40563.0
2020-05-14,189614.0,175413.0,134495.0,38579.0
2020-05-15,189772.0,173836.0,137540.0,38097.0
2020-05-16,185139.0,162909.0,142338.0,37228.0
2020-05-17,173987.0,145253.0,135524.0,35992.0
2020-05-18,167262.0,158206.0,147635.0,36328.0
2020-05-19,172103.0,153114.0,150667.0,33830.0
2020-05-20,175881.0,149486.0,152610.0,35073.0
2020-05-21,174340.0,136180.0,144869.0,34590.0
2020-05-22,170759.0,137799.0,144252.0,33718.0
