,DE_LU_GEO,ES_GEO
2020-02-11,2507.0,0.0
2020-02-12,2486.0,0.0
2020-02-13,2595.0,0.0
2020-02-14,2529.0,0.0
2020-02-15,2154.0,0.0
2020-02-16,1994.0,0.0
2020-02-17,1969.0,0.0
2020-02-18,2074.0,0.0
2020-02-19,2324.0,0.0
2020-02-20,2596.0,0.0
2020-02-21,2573.0,0.0
2020-02-22,2317.0,0.0
2020-02-23,2283.0,0.0
2020-02-24,2498.0,0.0
2020-02-25,2346.0,0.0
2020-02-26,2529.0,0.0
2020-02-27,2543.0,0.0
2020-02-28,2550.0,0.0
2020-02-29,2365.0,0.0
2020-03-01,2427.0,0.0
2020-03-02,2434.0,0.0
2020-03-03,2547.0,0.0
2020-03-04,2532.0,0.0
2020-03-05,2429.0,0.0
2020-03-06,2396.0,0.0
2020-03-07,2605.0,0.0
2020-03-08,2598.0,0.0
2020-03-09,2543.0,0.0
2020-03-10,2508.0,0.0
2020-03-11,2143.0,0.0
2020-03-12,2320.0,0.0
2020-03-13,2667.0,0.0
2020-03-14,2748.0,0.0
2020-03-15,2677.0,0.0
2020-03-16,2333.0,0.0
2020-03-17,2253.0,0.0
2020-03-18,2243.0,0.0
2020-03-19,2232.0,0.0
2020-03-20,2231.0,0.0
2020-03-21,2754.0,0.0
2020-03-22,2710.0,0.0
2020-03-23,2768.0,0.0
2020-03-24,2806.0,0.0
2020-03-25,2638.0,0.0
2020-03-26,2532.0,0.0
2020-03-27,2440.0,0.0
2020-03-28,2531.0,0.0
2020-03-29,2616.0,0.0
2020-03-30,2410.0,0.0
2020-03-31,2238.0,0.0
2020-04-01,2030.0,0.0
2020-04-02,2184.0,0.0
2020-04-03,1803.0,0.0
2020-04-04,1718.0,0.0
2020-04-05,1752.0,0.0
2020-04-06,1933.0,0.0
2020-04-07,1928.0,0.0
2020-04-08,1964.0,0.0
2020-04-09,1953.0,0.0
2020-04-10,1951.0,0.0
2020-04-11,1969.0,0.0
2020-04-12,1879.0,0.0
2020-04-13,1900.0,0.0
2020-04-14,2259.0,0.0
2020-04-15,2068.0,0.0
2020-04-16,1926.0,0.0
2020-04-17,1823.0,0.0
2020-04-18,1760.0,0.0
2020-04-19,1838.0,0.0
2020-04-20,1963.0,0.0
2020-04-21,1930.0,0.0
2020-04-22,1856.0,0.0
2020-04-23,1949.0,0.0
2020-04-24,1794.0,0.0
2020-04-25,1823.0,0.0
2020-04-26,1847.0,0.0
2020-04-27,1762.0,0.0
2020-04-28,1492.0,0.0
2020-04-29,1593.0,0.0
2020-04-30,1898.0,0.0
2020-05-01,2016.0,0.0
2020-05-02,2223.0,0.0
2020-05-03,2156.0,0.0
2020-05-04,1835.0,0.0
2020-05-05,2012.0,0.0
2020-05-06,2068.0,0.0
2020-05-07,1943.0,0.0
2020-05-08,1826.0,0.0
2020-05-09,1916.0,0.0
2020-05-10,2158.0,0.0
2020-05-11,2328.0,0.0
2020-05-12,2333.0,0.0
2020-05-13,2544.0,0.0
2020-05-14,2558.0,0.0
2020-05-15,2609.0,0.0
2020-05-16,2501.0,0.0
2020-05-17,2383.0,0.0
2020-05-18,2310.0,0.0
2020-05-19,2162.0,0.0
2020-05-20,2185.0,0.0
2020-05-21,2183.0,0.0
2020-05-22,1865.0,0.0
2020-05-23,1901.0,0.0
2020-05-24,2033.0,0.0
2020-05-25,2198.0,0.0
2020-05-26,2362.0,0.0
2020-05-27,2275.0,0.0
2020-05-28,2228.0,0.0
2020-05-29,2493.0,0.0
2020-05-30,2500.0,0.0
2020-05-31,2461.0,0.0
2020-06-01,2264.0,0.0
2020-06-02,2153.0,0.0
2020-06-03,2011.0,0.0
2020-06-04,2089.0,0.0
2020-06-05,2214.0,0.0
2020-06-06,2148.0,0.0
2020-06-07,2349.0,0.0
2020-06-08,2176.0,0.0
2020-06-09,2200.0,0.0
2020-06-10,2239.0,0.0
2020-06-11,2267.0,0.0
2020-06-12,2050.0,0.0
2020-06-13,1839.0,0.0
2020-06-14,2229.0,0.0
2020-06-15,2300.0,0.0
2020-06-16,2243.0,0.0
2020-06-17,2217.0,0.0
2020-06-18,2182.0,0.0
2020-06-19,2311.0,0.0
2020-06-20,2270.0,0.0
2020-06-21,2186.0,0.0
2020-06-22,2121.0,0.0
2020-06-23,2073.0,0.0
2020-06-24,2059.0,0.0
2020-06-25,2164.0,0.0
2020-06-26,1941.0,0.0
2020-06-27,1706.0,0.0
2020-06-28,1570.0,0.0
2020-06-29,1584.0,0.0
2020-06-30,1483.0,0.0
2020-07-01,1430.0,0.0
2020-07-02,1487.0,0.0
2020-07-03,1571.0,0.0
2020-07-04,1501.0,0.0
2020-07-05,1381.0,0.0
2020-07-06,1501.0,0.0
2020-07-07,1699.0,0.0
2020-07-08,1691.0,0.0
2020-07-09,1584.0,0.0
2020-07-10,1538.0,0.0
2020-07-11,1937.0,0.0
2020-07-12,1794.0,0.0
2020-07-13,1681.0,0.0
2020-07-14,1833.0,0.0
2020-07-15,1838.0,0.0
2020-07-16,1957.0,0.0
2020-07-17,1939.0,0.0
2020-07-18,1926.0,0.0
2020-07-19,1768.0,0.0
2020-07-20,1681.0,0.0
2020-07-21,1673.0,0.0
2020-07-22,1748.0,0.0
2020-07-23,1603.0,0.0
