,OECDplus6_WIP
2020-03-21,127.84462769022163
2020-03-22,127.84462769022163
2020-03-23,127.84462769022163
2020-03-24,127.84462769022163
2020-03-25,127.84462769022163
2020-03-26,127.84462769022163
2020-03-27,127.84462769022163
2020-03-28,127.84462769022163
2020-03-29,127.84462769022163
2020-03-30,127.84462769022163
2020-03-31,127.84462769022163
2020-04-01,116.36376494758082
2020-04-02,116.36376494758082
2020-04-03,116.36376494758082
2020-04-04,116.36376494758082
2020-04-05,116.36376494758082
2020-04-06,116.36376494758082
2020-04-07,116.36376494758082
2020-04-08,116.36376494758082
2020-04-09,116.36376494758082
2020-04-10,116.36376494758082
2020-04-11,116.36376494758082
2020-04-12,116.36376494758082
2020-04-13,116.36376494758082
2020-04-14,116.36376494758082
2020-04-15,116.36376494758082
2020-04-16,116.36376494758082
2020-04-17,116.36376494758082
2020-04-18,116.36376494758082
2020-04-19,116.36376494758082
2020-04-20,116.36376494758082
2020-04-21,116.36376494758082
2020-04-22,116.36376494758082
2020-04-23,116.36376494758082
2020-04-24,116.36376494758082
2020-04-25,116.36376494758082
2020-04-26,116.36376494758082
2020-04-27,116.36376494758082
2020-04-28,116.36376494758082
2020-04-29,116.36376494758082
2020-04-30,116.36376494758082
2020-05-01,117.14542313010887
2020-05-02,117.14542313010887
2020-05-03,117.14542313010887
2020-05-04,117.14542313010887
2020-05-05,117.14542313010887
2020-05-06,117.14542313010887
2020-05-07,117.14542313010887
2020-05-08,117.14542313010887
2020-05-09,117.14542313010887
2020-05-10,117.14542313010887
2020-05-11,117.14542313010887
2020-05-12,117.14542313010887
2020-05-13,117.14542313010887
2020-05-14,117.14542313010887
2020-05-15,117.14542313010887
2020-05-16,117.14542313010887
2020-05-17,117.14542313010887
2020-05-18,117.14542313010887
2020-05-19,117.14542313010887
2020-05-20,117.14542313010887
2020-05-21,117.14542313010887
2020-05-22,117.14542313010887
2020-05-23,117.14542313010887
2020-05-24,117.14542313010887
2020-05-25,117.14542313010887
2020-05-26,117.14542313010887
2020-05-27,117.14542313010887
2020-05-28,117.14542313010887
2020-05-29,117.14542313010887
2020-05-30,117.14542313010887
2020-05-31,117.14542313010887
2020-06-01,123.00653670494528
2020-06-02,123.00653670494528
2020-06-03,123.00653670494528
2020-06-04,123.00653670494528
2020-06-05,123.00653670494528
2020-06-06,123.00653670494528
2020-06-07,123.00653670494528
2020-06-08,123.00653670494528
2020-06-09,123.00653670494528
2020-06-10,123.00653670494528
2020-06-11,123.00653670494528
2020-06-12,123.00653670494528
2020-06-13,123.00653670494528
2020-06-14,123.00653670494528
2020-06-15,123.00653670494528
2020-06-16,123.00653670494528
2020-06-17,123.00653670494528
2020-06-18,123.00653670494528
2020-06-19,123.00653670494528
2020-06-20,123.00653670494528
2020-06-21,123.00653670494528
2020-06-22,123.00653670494528
2020-06-23,123.00653670494528
2020-06-24,123.00653670494528
2020-06-25,123.00653670494528
2020-06-26,123.00653670494528
2020-06-27,123.00653670494528
2020-06-28,123.00653670494528
2020-06-29,123.00653670494528
2020-06-30,123.00653670494528
2020-07-01,126.83948048837229
2020-07-02,126.83948048837229
2020-07-03,126.83948048837229
2020-07-04,126.83948048837229
2020-07-05,126.83948048837229
2020-07-06,126.83948048837229
2020-07-07,126.83948048837229
2020-07-08,126.83948048837229
2020-07-09,126.83948048837229
2020-07-10,126.83948048837229
2020-07-11,126.83948048837229
2020-07-12,126.83948048837229
2020-07-13,126.83948048837229
2020-07-14,126.83948048837229
2020-07-15,126.83948048837229
2020-07-16,126.83948048837229
2020-07-17,126.83948048837229
2020-07-18,126.83948048837229
2020-07-19,126.83948048837229
2020-07-20,126.83948048837229
2020-07-21,126.83948048837229
2020-07-22,126.83948048837229
2020-07-23,126.83948048837229
2020-07-24,126.83948048837229
2020-07-25,126.83948048837229
2020-07-26,126.83948048837229
2020-07-27,126.83948048837229
2020-07-28,126.83948048837229
2020-07-29,126.83948048837229
2020-07-30,126.83948048837229
2020-07-31,126.83948048837229
2020-08-01,128.50661718139332
2020-08-02,128.50661718139332
2020-08-03,128.50661718139332
2020-08-04,128.50661718139332
2020-08-05,128.50661718139332
2020-08-06,128.50661718139332
2020-08-07,128.50661718139332
2020-08-08,128.50661718139332
2020-08-09,128.50661718139332
2020-08-10,128.50661718139332
2020-08-11,128.50661718139332
2020-08-12,128.50661718139332
2020-08-13,128.50661718139332
2020-08-14,128.50661718139332
2020-08-15,128.50661718139332
2020-08-16,128.50661718139332
2020-08-17,128.50661718139332
2020-08-18,128.50661718139332
2020-08-19,128.50661718139332
2020-08-20,128.50661718139332
2020-08-21,128.50661718139332
2020-08-22,128.50661718139332
2020-08-23,128.50661718139332
2020-08-24,128.50661718139332
2020-08-25,128.50661718139332
2020-08-26,128.50661718139332
2020-08-27,128.50661718139332
2020-08-28,128.50661718139332
2020-08-29,128.50661718139332
2020-08-30,128.50661718139332
2020-08-31,128.50661718139332
2020-09-01,130.24017740331402
2020-09-02,130.24017740331402
2020-09-03,130.24017740331402
2020-09-04,130.24017740331402
2020-09-05,130.24017740331402
2020-09-06,130.24017740331402
2020-09-07,130.24017740331402
2020-09-08,130.24017740331402
2020-09-09,130.24017740331402
2020-09-10,130.24017740331402
2020-09-11,130.24017740331402
2020-09-12,130.24017740331402
2020-09-13,130.24017740331402
2020-09-14,130.24017740331402
2020-09-15,130.24017740331402
2020-09-16,130.24017740331402
2020-09-17,130.24017740331402
2020-09-18,130.24017740331402
2020-09-19,130.24017740331402
2020-09-20,130.24017740331402
2020-09-21,130.24017740331402
2020-09-22,130.24017740331402
2020-09-23,130.24017740331402
2020-09-24,130.24017740331402
2020-09-25,130.24017740331402
2020-09-26,130.24017740331402
2020-09-27,130.24017740331402
2020-09-28,130.24017740331402
2020-09-29,130.24017740331402
2020-09-30,130.24017740331402
2020-10-01,131.29923387399833
2020-10-02,131.29923387399833
2020-10-03,131.29923387399833
2020-10-04,131.29923387399833
2020-10-05,131.29923387399833
2020-10-06,131.29923387399833
2020-10-07,131.29923387399833
2020-10-08,131.29923387399833
2020-10-09,131.29923387399833
2020-10-10,131.29923387399833
2020-10-11,131.29923387399833
2020-10-12,131.29923387399833
2020-10-13,131.29923387399833
2020-10-14,131.29923387399833
2020-10-15,131.29923387399833
2020-10-16,131.29923387399833
