,European_News_Index,Germany_News_Index,Italy_News_Index,UK_News_Index,France_News_Index,Spain_News_Index
2020-12-15,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-16,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-17,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-18,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-19,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-20,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-21,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-22,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-23,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-24,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-25,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-26,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-27,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-28,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-29,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-30,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2020-12-31,208.9586639404297,227.94400024414062,141.7285919189453,210.90306091308594,257.267333984375,181.13722229003906
2021-01-01,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-02,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-03,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-04,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-05,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-06,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-07,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-08,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-09,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-10,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-11,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-12,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-13,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-14,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-15,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-16,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-17,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-18,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-19,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-20,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-21,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-22,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-23,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-24,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-25,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-26,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-27,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-28,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-29,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-30,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-01-31,231.37863159179688,210.23208618164062,247.12469482421875,199.22393798828125,276.37225341796875,145.95521545410156
2021-02-01,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-02,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-03,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
2021-02-04,185.27867126464844,223.45362854003906,136.78912353515625,172.0104522705078,226.4303436279297,126.63814544677734
