,DE_LU_WINDOFFSHORE,ES_WINDOFFSHORE
2020-09-25,261584.0,0.0
2020-09-26,292448.0,0.0
2020-09-27,313037.0,0.0
2020-09-28,71417.0,0.0
2020-09-29,77155.0,0.0
2020-09-30,279003.0,0.0
2020-10-01,491536.0,0.0
2020-10-02,377632.0,0.0
2020-10-03,570570.0,0.0
2020-10-04,488854.0,0.0
2020-10-05,560829.0,0.0
2020-10-06,376025.0,0.0
2020-10-07,401575.0,0.0
2020-10-08,540539.0,0.0
2020-10-09,379231.0,0.0
2020-10-10,383183.0,0.0
2020-10-11,403881.0,0.0
2020-10-12,159251.0,0.0
2020-10-13,221922.0,0.0
2020-10-14,514120.0,0.0
2020-10-15,363943.0,0.0
2020-10-16,70322.0,0.0
2020-10-17,81134.0,0.0
2020-10-18,323862.0,0.0
2020-10-19,208703.0,0.0
2020-10-20,445306.0,0.0
2020-10-21,374330.0,0.0
2020-10-22,556089.0,0.0
2020-10-23,386984.0,0.0
2020-10-24,503251.0,0.0
2020-10-25,535426.0,0.0
2020-10-26,429437.0,0.0
2020-10-27,534026.0,0.0
2020-10-28,499710.0,0.0
2020-10-29,455411.0,0.0
2020-10-30,390890.0,0.0
2020-10-31,320079.0,0.0
2020-11-01,530530.0,0.0
2020-11-02,549441.0,0.0
2020-11-03,494074.0,0.0
2020-11-04,435051.0,0.0
2020-11-05,407579.0,0.0
2020-11-06,85062.0,0.0
2020-11-07,66841.0,0.0
2020-11-08,117514.0,0.0
2020-11-09,109817.0,0.0
2020-11-10,79136.0,0.0
2020-11-11,127443.0,0.0
2020-11-12,384276.0,0.0
2020-11-13,294165.0,0.0
2020-11-14,319862.0,0.0
2020-11-15,556991.0,0.0
2020-11-16,541794.0,0.0
2020-11-17,546083.0,0.0
2020-11-18,565378.0,0.0
2020-11-19,458802.0,0.0
2020-11-20,353263.0,0.0
2020-11-21,443056.0,0.0
2020-11-22,520422.0,0.0
2020-11-23,533852.0,0.0
2020-11-24,514852.0,0.0
2020-11-25,322931.0,0.0
2020-11-26,155767.0,0.0
2020-11-27,83688.0,0.0
2020-11-28,220550.0,0.0
2020-11-29,83577.0,0.0
2020-11-30,378855.0,0.0
2020-12-01,265336.0,0.0
2020-12-02,162913.0,0.0
2020-12-03,513710.0,0.0
2020-12-04,501958.0,0.0
2020-12-05,228988.0,0.0
2020-12-06,190175.0,0.0
2020-12-07,402789.0,0.0
2020-12-08,112164.0,0.0
2020-12-09,170693.0,0.0
2020-12-10,137486.0,0.0
2020-12-11,516738.0,0.0
2020-12-12,253117.0,0.0
2020-12-13,216968.0,0.0
2020-12-14,540943.0,0.0
2020-12-15,302894.0,0.0
2020-12-16,344879.0,0.0
2020-12-17,547502.0,0.0
2020-12-18,563697.0,0.0
2020-12-19,538523.0,0.0
2020-12-20,525297.0,0.0
2020-12-21,504440.0,0.0
2020-12-22,384953.0,0.0
2020-12-23,173212.0,0.0
2020-12-24,523483.0,0.0
2020-12-25,271716.0,0.0
2020-12-26,449052.0,0.0
2020-12-27,318205.0,0.0
2020-12-28,111056.0,0.0
2020-12-29,101800.0,0.0
2020-12-30,343089.0,0.0
2020-12-31,249589.0,0.0
2021-01-01,53591.0,0.0
2021-01-02,76239.0,0.0
2021-01-03,413656.0,0.0
2021-01-04,494871.0,0.0
2021-01-05,556399.0,0.0
2021-01-06,336773.0,0.0
2021-01-07,93743.0,0.0
2021-01-08,87763.0,0.0
2021-01-09,33261.0,0.0
2021-01-10,331683.0,0.0
2021-01-11,477572.0,0.0
2021-01-12,493734.0,0.0
2021-01-13,568609.0,0.0
2021-01-14,234869.0,0.0
2021-01-15,85720.0,0.0
2021-01-16,269158.0,0.0
2021-01-17,218651.0,0.0
2021-01-18,472766.0,0.0
2021-01-19,457327.0,0.0
2021-01-20,560573.0,0.0
2021-01-21,432482.0,0.0
2021-01-22,491893.0,0.0
2021-01-23,224792.0,0.0
2021-01-24,24129.0,0.0
2021-01-25,113541.0,0.0
2021-01-26,143347.0,0.0
2021-01-27,278084.0,0.0
2021-01-28,221129.0,0.0
2021-01-29,587394.0,0.0
2021-01-30,90681.0,0.0
2021-01-31,130230.0,0.0
2021-02-01,189482.0,0.0
2021-02-02,160870.0,0.0
2021-02-03,593651.0,0.0
2021-02-04,535764.0,0.0
2021-02-05,623269.0,0.0
2021-02-06,520972.0,0.0
2021-02-07,354481.0,0.0
2021-02-08,514619.0,0.0
2021-02-09,518462.0,0.0
2021-02-10,343452.0,0.0
2021-02-11,184488.0,0.0
2021-02-12,268686.0,0.0
2021-02-13,97466.0,0.0
2021-02-14,460988.0,0.0
2021-02-15,385451.0,0.0
2021-02-16,385595.0,0.0
2021-02-17,507912.0,0.0
2021-02-18,570836.0,0.0
2021-02-19,549385.0,0.0
2021-02-20,558014.0,0.0
2021-02-21,305123.0,0.0
2021-02-22,387138.0,0.0
2021-02-23,413778.0,0.0
2021-02-24,602062.0,0.0
2021-02-25,446460.0,0.0
2021-02-26,316189.0,0.0
2021-02-27,112858.0,0.0
2021-02-28,55157.0,0.0
2021-03-01,38366.0,0.0
2021-03-02,91756.0,0.0
2021-03-03,58604.0,0.0
2021-03-04,282783.0,0.0
2021-03-05,130125.0,0.0
2021-03-06,300493.0,0.0
2021-03-07,345194.0,0.0
2021-03-08,89051.0,0.0
2021-03-09,76110.0,0.0
2021-03-10,425905.0,0.0
2021-03-11,503263.0,0.0
2021-03-12,543163.0,0.0
2021-03-13,563215.0,0.0
2021-03-14,507962.0,0.0
2021-03-15,493244.0,0.0
2021-03-16,258327.0,0.0
2021-03-17,198884.0,0.0
2021-03-18,86625.0,0.0
2021-03-19,134934.0,0.0
2021-03-20,321924.0,0.0
2021-03-21,445378.0,0.0
2021-03-22,226028.0,0.0
2021-03-23,218283.0,0.0
2021-03-24,354146.0,0.0
2021-03-25,207693.0,0.0
2021-03-26,528105.0,0.0
2021-03-27,472084.0,0.0
2021-03-28,638276.0,0.0
2021-03-29,567090.0,0.0
2021-03-30,288990.0,0.0
2021-03-31,33949.0,0.0
2021-04-01,350871.0,0.0
2021-04-02,463302.0,0.0
2021-04-03,318323.0,0.0
2021-04-04,374313.0,0.0
2021-04-05,412029.0,0.0
2021-04-06,543578.0,0.0
2021-04-07,415483.0,0.0
2021-04-08,403665.0,0.0
2021-04-09,242296.0,0.0
2021-04-10,89133.0,0.0
2021-04-11,392328.0,0.0
2021-04-12,297974.0,0.0
2021-04-13,320551.0,0.0
2021-04-14,118783.0,0.0
2021-04-15,77784.0,0.0
2021-04-16,138287.0,0.0
2021-04-17,148452.0,0.0
2021-04-18,59573.0,0.0
2021-04-19,82946.0,0.0
2021-04-20,22117.0,0.0
2021-04-21,325542.0,0.0
2021-04-22,331357.0,0.0
2021-04-23,187944.0,0.0
2021-04-24,211124.0,0.0
2021-04-25,115822.0,0.0
2021-04-26,24563.0,0.0
2021-04-27,152875.0,0.0
2021-04-28,156384.0,0.0
2021-04-29,275584.0,0.0
2021-04-30,42868.0,0.0
2021-05-01,64496.0,0.0
2021-05-02,268174.0,0.0
2021-05-03,171476.0,0.0
2021-05-04,337763.0,0.0
2021-05-05,301750.0,0.0
2021-05-06,174905.0,0.0
2021-05-07,223063.0,0.0
2021-05-08,220660.0,0.0
2021-05-09,284284.0,0.0
2021-05-10,233907.0,0.0
2021-05-11,77734.0,0.0
2021-05-12,51929.0,0.0
2021-05-13,32584.0,0.0
