,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-09-01,398517.0,7859.0,5539.0,9327.0
2019-09-02,410332.0,7879.0,5474.0,9125.0
2019-09-03,425349.0,8775.0,5030.0,8022.0
2019-09-04,421812.0,7936.0,4852.0,6322.0
2019-09-05,425168.0,7889.0,4866.0,6348.0
2019-09-06,436400.0,8077.0,4889.0,8774.0
2019-09-07,439273.0,10532.0,4875.0,9122.0
2019-09-08,439601.0,10424.0,4745.0,8271.0
2019-09-09,424283.0,11234.0,4023.0,8793.0
2019-09-10,419209.0,13632.0,4100.0,8859.0
2019-09-11,420007.0,13986.0,3992.0,8595.0
2019-09-12,420661.0,12826.0,4050.0,8600.0
2019-09-13,413853.0,10224.0,4243.0,8473.0
2019-09-14,410736.0,7887.0,4568.0,8478.0
2019-09-15,409733.0,7864.0,4630.0,7720.0
2019-09-16,406579.0,7903.0,4558.0,7533.0
2019-09-17,405060.0,7783.0,4435.0,7872.0
2019-09-18,416421.0,7736.0,4365.0,8486.0
2019-09-19,407962.0,7843.0,4609.0,8273.0
2019-09-20,399600.0,7878.0,4572.0,8225.0
2019-09-21,387794.0,7636.0,4742.0,8639.0
2019-09-22,399639.0,7861.0,5487.0,8851.0
2019-09-23,401334.0,7890.0,5325.0,8454.0
2019-09-24,398990.0,7877.0,5218.0,8708.0
2019-09-25,400229.0,7953.0,5253.0,8418.0
2019-09-26,404360.0,7908.0,5210.0,8367.0
2019-09-27,404486.0,7735.0,4898.0,8227.0
2019-09-28,404282.0,7846.0,5131.0,8514.0
2019-09-29,406564.0,8042.0,4986.0,8412.0
2019-09-30,404373.0,7821.0,4559.0,8439.0
2019-10-01,408696.0,7505.0,4742.0,8066.0
2019-10-02,409327.0,7547.0,5241.0,7531.0
2019-10-03,428613.0,7410.0,5279.0,8347.0
2019-10-04,431260.0,7299.0,4980.0,8138.0
2019-10-05,445891.0,7312.0,5062.0,6639.0
2019-10-06,444814.0,7297.0,4973.0,7792.0
2019-10-07,427250.0,7033.0,4749.0,8080.0
2019-10-08,429394.0,6928.0,4768.0,8291.0
2019-10-09,445759.0,7145.0,5123.0,8276.0
2019-10-10,435644.0,7444.0,5003.0,8724.0
2019-10-11,453649.0,7635.0,4787.0,9013.0
2019-10-12,454719.0,7667.0,5020.0,8869.0
2019-10-13,453007.0,7663.0,4939.0,8433.0
2019-10-14,454953.0,7656.0,4524.0,8254.0
2019-10-15,455560.0,7665.0,4535.0,8319.0
2019-10-16,459324.0,7683.0,4689.0,8506.0
2019-10-17,458408.0,7627.0,4697.0,8498.0
2019-10-18,457983.0,7649.0,4758.0,8436.0
2019-10-19,459925.0,7623.0,4948.0,8161.0
2019-10-20,459523.0,7737.0,5033.0,8119.0
2019-10-21,455585.0,7657.0,4913.0,8310.0
2019-10-22,459080.0,7831.0,4531.0,8079.0
2019-10-23,463386.0,7806.0,4148.0,7998.0
2019-10-24,465144.0,7718.0,4427.0,7832.0
2019-10-25,465176.0,7880.0,4554.0,8285.0
2019-10-26,463997.0,7916.0,5224.0,7972.0
2019-10-27,464116.0,7598.0,5261.0,7783.0
2019-10-28,460686.0,7947.0,4875.0,8185.0
2019-10-29,462447.0,7995.0,5031.0,8129.0
2019-10-30,461932.0,8025.0,4779.0,7900.0
2019-10-31,465263.0,8036.0,4562.0,7936.0
2019-11-01,456375.0,7970.0,4677.0,8188.0
2019-11-02,454932.0,7912.0,4475.0,8318.0
2019-11-03,440870.0,7801.0,4485.0,7541.0
2019-11-04,427296.0,7825.0,3753.0,8254.0
2019-11-05,427644.0,7642.0,3875.0,8634.0
2019-11-06,430229.0,7110.0,4242.0,8975.0
2019-11-07,430164.0,7373.0,4155.0,8846.0
2019-11-08,432053.0,7468.0,4449.0,8800.0
2019-11-09,436828.0,7743.0,4822.0,9025.0
2019-11-10,459937.0,7968.0,4970.0,8282.0
2019-11-11,458391.0,7905.0,4403.0,8883.0
2019-11-12,446216.0,7625.0,4165.0,8592.0
2019-11-13,447350.0,7934.0,3578.0,8370.0
2019-11-14,449399.0,7920.0,3745.0,8666.0
2019-11-15,449937.0,7824.0,3454.0,8734.0
2019-11-16,455864.0,7910.0,4382.0,8351.0
2019-11-17,463482.0,7892.0,4688.0,8701.0
2019-11-18,460856.0,7855.0,4715.0,8818.0
2019-11-19,456269.0,7864.0,4711.0,9022.0
2019-11-20,463417.0,7957.0,4569.0,9318.0
2019-11-21,461926.0,7979.0,4826.0,9181.0
2019-11-22,461860.0,7879.0,5068.0,7900.0
2019-11-23,463571.0,7902.0,5140.0,5821.0
2019-11-24,462812.0,7862.0,5092.0,5789.0
