,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2020-04-23,168420.0,28694.0,5780.0
2020-04-24,98865.0,13717.0,7371.0
2020-04-25,136842.0,13396.0,3554.0
2020-04-26,93808.0,14906.0,2125.0
2020-04-27,142371.0,33641.0,2545.0
2020-04-28,142916.0,19544.0,2650.0
2020-04-29,128552.0,15148.0,5524.0
2020-04-30,142817.0,5846.0,13003.0
2020-05-01,82753.0,3906.0,5674.0
2020-05-02,137453.0,13125.0,3586.0
2020-05-03,95318.0,9953.0,1165.0
2020-05-04,115011.0,7302.0,8501.0
2020-05-05,102091.0,20022.0,2670.0
2020-05-06,104396.0,24246.0,3045.0
2020-05-07,132451.0,22269.0,3699.0
2020-05-08,134284.0,13351.0,3916.0
2020-05-09,116933.0,13687.0,8867.0
2020-05-10,73490.0,724.0,2201.0
2020-05-11,113698.0,6975.0,2738.0
2020-05-12,105049.0,23239.0,3032.0
2020-05-13,133988.0,16406.0,949.0
2020-05-14,129511.0,13584.0,566.0
2020-05-15,125288.0,19196.0,1229.0
2020-05-16,127572.0,12962.0,2911.0
2020-05-17,87173.0,11591.0,542.0
2020-05-18,126255.0,17551.0,1441.0
2020-05-19,140454.0,16616.0,3546.0
2020-05-20,190564.0,23726.0,2389.0
2020-05-21,126065.0,17753.0,3406.0
2020-05-22,153834.0,16128.0,7492.0
2020-05-23,93517.0,5114.0,3363.0
2020-05-24,59685.0,10765.0,1610.0
2020-05-25,160080.0,17103.0,6013.0
2020-05-26,183735.0,20982.0,5172.0
2020-05-27,136141.0,23276.0,3893.0
2020-05-28,123078.0,23952.0,8621.0
2020-05-29,134406.0,16310.0,7157.0
2020-05-30,124885.0,9698.0,5302.0
2020-05-31,89052.0,2335.0,1307.0
2020-06-01,70383.0,8751.0,1038.0
2020-06-02,169116.0,27763.0,2389.0
2020-06-03,161273.0,26530.0,2597.0
2020-06-04,117518.0,14207.0,3757.0
2020-06-05,111954.0,4736.0,1105.0
2020-06-06,93393.0,11113.0,747.0
2020-06-07,52892.0,9327.0,2963.0
2020-06-08,116347.0,17537.0,1327.0
2020-06-09,115652.0,21254.0,5825.0
2020-06-10,120145.0,20857.0,5655.0
