,DE_LU_SUN,FR_SUN,IT_NORD_SUN,ES_SUN
2020-01-02,158992.0,11849.0,11004.0,23403.0
2020-01-03,73032.0,9237.0,6731.0,18824.0
2020-01-04,52598.0,14455.0,11489.0,25754.0
2020-01-05,99658.0,19106.0,12146.0,33395.0
2020-01-06,152588.0,17470.0,10465.0,31586.0
2020-01-07,61188.0,10433.0,3988.0,33753.0
2020-01-08,39003.0,14985.0,5118.0,32790.0
2020-01-09,97197.0,16956.0,8983.0,27411.0
2020-01-10,122566.0,11275.0,10155.0,28888.0
2020-01-11,147951.0,20586.0,11680.0,40112.0
2020-01-12,137322.0,18766.0,13130.0,40279.0
2020-01-13,106370.0,15514.0,8117.0,28319.0
2020-01-14,153111.0,14938.0,4710.0,25148.0
2020-01-15,256780.0,12172.0,4726.0,21992.0
2020-01-16,263396.0,20209.0,7331.0,34740.0
2020-01-17,223817.0,9065.0,12565.0,24245.0
2020-01-18,120386.0,18548.0,3626.0,9961.0
2020-01-19,123067.0,20459.0,6580.0,17510.0
2020-01-20,180880.0,18147.0,13972.0,11461.0
2020-01-21,259081.0,14497.0,11592.0,9921.0
2020-01-22,101049.0,12028.0,13246.0,13296.0
2020-01-23,115644.0,10335.0,13616.0,13940.0
2020-01-24,187046.0,15387.0,9647.0,11802.0
2020-01-25,114625.0,15568.0,2848.0,9624.0
2020-01-26,150345.0,11789.0,6124.0,25510.0
2020-01-27,160088.0,8246.0,12194.0,23545.0
2020-01-28,100176.0,15381.0,7452.0,14984.0
2020-01-29,100309.0,18387.0,17042.0,19269.0
2020-01-30,184681.0,10966.0,12312.0,23047.0
2020-01-31,142197.0,16469.0,8887.0,22421.0
2020-02-01,130757.0,12551.0,4353.0,23002.0
2020-02-02,70370.0,16243.0,5380.0,36113.0
2020-02-03,86134.0,21088.0,6474.0,42662.0
2020-02-04,194242.0,22261.0,14138.0,42474.0
2020-02-05,347739.0,29300.0,20578.0,41474.0
2020-02-06,252112.0,29476.0,18894.0,37330.0
2020-02-07,306053.0,27878.0,20180.0,26015.0
2020-02-08,349808.0,20006.0,16386.0,18772.0
2020-02-09,319550.0,19428.0,14379.0,30830.0
2020-02-10,219539.0,16989.0,11684.0,45866.0
2020-02-11,209303.0,17116.0,19920.0,30781.0
2020-02-12,211247.0,26443.0,21654.0,16745.0
2020-02-13,168320.0,14779.0,15635.0,22968.0
2020-02-14,137639.0,27575.0,21451.0,43564.0
2020-02-15,383084.0,31344.0,19455.0,47939.0
2020-02-16,175981.0,20639.0,13710.0,50371.0
2020-02-17,182027.0,13379.0,10629.0,34306.0
2020-02-18,276132.0,30013.0,9920.0,31652.0
2020-02-19,230582.0,25656.0,15879.0,45586.0
2020-02-20,187366.0,32727.0,21354.0,53423.0
2020-02-21,378477.0,32957.0,20000.0,57934.0
2020-02-22,315577.0,37141.0,19784.0,61072.0
2020-02-23,80233.0,31227.0,12932.0,63847.0
2020-02-24,174357.0,31672.0,19832.0,62652.0
2020-02-25,248547.0,18181.0,9331.0,42807.0
