,DE_LU_NUC,FR_NUC,ES_NUC
2020-08-08,742775.0,741361.0,167064.0
2020-08-09,740297.0,755024.0,166889.0
2020-08-10,743377.0,757701.0,166995.0
2020-08-11,740092.0,780603.0,167016.0
2020-08-12,731173.0,774564.0,167275.0
2020-08-13,743264.0,788552.0,167044.0
2020-08-14,746933.0,778834.0,167098.0
2020-08-15,747423.0,709438.0,167058.0
2020-08-16,743103.0,722478.0,167392.0
2020-08-17,748298.0,742054.0,166843.0
2020-08-18,747716.0,760344.0,167181.0
2020-08-19,749857.0,768246.0,167178.0
2020-08-20,743944.0,766535.0,166737.0
2020-08-21,727368.0,761674.0,161943.0
2020-08-22,740137.0,697398.0,160237.0
2020-08-23,711137.0,672623.0,166958.0
2020-08-24,755390.0,741907.0,167206.0
2020-08-25,743607.0,704905.0,167011.0
2020-08-26,677031.0,708840.0,166807.0
2020-08-27,755491.0,715817.0,166056.0
2020-08-28,753680.0,712934.0,166410.0
2020-08-29,757349.0,681150.0,167198.0
2020-08-30,756245.0,676938.0,167722.0
2020-08-31,759445.0,696720.0,166866.0
2020-09-01,760015.0,679344.0,156040.0
2020-09-02,761360.0,685476.0,141202.0
2020-09-03,757821.0,696491.0,152385.0
2020-09-04,752820.0,687934.0,161675.0
2020-09-05,754437.0,670058.0,141418.0
2020-09-06,759785.0,651217.0,143533.0
2020-09-07,760381.0,693995.0,144100.0
2020-09-08,758016.0,715477.0,160198.0
2020-09-09,754450.0,707158.0,167658.0
2020-09-10,758274.0,703585.0,167661.0
